cluster,level1_category,level2_category,level3_category,顏色,L1,L2,L3,品牌,品號,商品名稱
FMCG,Beauty,Open Shelf Facial Care,OS Face Wash,黃,個人清潔,洗臉卸妝,洗顏,MEDITHERAPY,15593971,【MEDITHERAPY】複合酸溫和角質調理洗面乳 150ml
FMCG,Beauty,Open Shelf Facial Care,OS Face Wash,黃,個人清潔,洗臉卸妝,洗顏,Kanebo 佳麗寶,15600264,【Kanebo 佳麗寶】DEW 水潤潔膚/Honey蜜/洗顏皂霜/奶蓋皂(任選賣場)
FMCG,Beauty,Open Shelf Facial Care,OS Face Wash,黃,個人清潔,洗臉卸妝,洗臉用具,不織布爵,15627496,【不織布爵】厚款潔膚巾50片/盒(3盒組)
FMCG,Beauty,Open Shelf Facial Care,OS Face Wash,黃,個人清潔,洗臉卸妝,洗臉用具,不織布爵,15627497,【不織布爵】厚款潔膚巾50片/盒(5盒組)
FMCG,Beauty,Open Shelf Facial Care,OS Face Wash,黃,個人清潔,洗臉卸妝,洗臉用具,OBgE,15627506,【OBgE】深層清潔簡易卸妝潔面濕巾135g (台灣公司貨)
FMCG,Beauty,Open Shelf Facial Care,OS Face Wash,黃,個人清潔,洗臉卸妝,洗顏,dermalogica 德卡,15645613,【dermalogica 德卡】活顏肌活亮顏素13g(活性炭去角質粉 深層淨化 滑嫩亮顏 淨透煥亮)
FMCG,Beauty,Open Shelf Facial Care,OS Face Wash,黃,個人清潔,洗臉卸妝,洗顏,古寶無患子,1722909,【古寶無患子】玫瑰玉容潔顏活膚晶(100gX1入)
FMCG,Beauty,Open Shelf Facial Care,OS Face Wash,藍,綠色生活,美妝保養｜純淨成分,臉部保養,Dr.Hsieh 達特醫,2277714,【Dr.Hsieh 達特醫】杏仁酸抗痘潔顏慕斯150ml(控油洗面乳/毛孔清潔/官方直營)
FMCG,Beauty,Open Shelf Facial Care,OS Face Wash,黃,個人清潔,洗臉卸妝,洗顏,ARWIN 雅聞,2283538,【雅聞倍優BIOCHEM】RK果粒潔顏冰砂(200g)
FMCG,Beauty,Open Shelf Facial Care,OS Face Wash,黃,個人清潔,洗臉卸妝,洗顏,古寶無患子,2607457,【古寶無患子】10入組-玫瑰玉容潔顏活膚晶(100gx10入)
FMCG,Beauty,Open Shelf Facial Care,OS Face Wash,黃,個人清潔,洗臉卸妝,洗顏,古寶無患子,2699996,【古寶無患子】珍珠玉容潔顏嫩白皂(100gX1入)
FMCG,Beauty,Open Shelf Facial Care,OS Face Wash,黃,個人清潔,洗臉卸妝,洗顏,古寶無患子,2901783,【古寶無患子】10件組-珍珠玉容潔顏嫩白皂(100gx10入)
FMCG,Beauty,Open Shelf Facial Care,OS Face Wash,黃,個人清潔,洗臉卸妝,洗顏,古寶無患子,3347046,【古寶無患子】10件組-經典玉容潔顏活膚晶(100gx10入)
FMCG,Beauty,Open Shelf Facial Care,OS Face Wash,黃,個人清潔,洗臉卸妝,洗顏,古寶無患子,3347048,【古寶無患子】10入組-LOTUS蓮花精華潔顏皂(100gx10入)
FMCG,Beauty,Open Shelf Facial Care,OS Face Wash,黃,個人清潔,洗臉卸妝,洗顏,古寶無患子,3347058,【古寶無患子】15入組-珍珠玉容潔顏嫩白皂(100gX15入)
FMCG,Beauty,Open Shelf Facial Care,OS Face Wash,黃,個人清潔,洗臉卸妝,洗顏,Dr.Bronner’s 布朗博士,3537365,【Dr.Bronner’s 布朗博士】綠茶潔顏皂(140g)
FMCG,Beauty,Open Shelf Facial Care,OS Face Wash,黃,個人清潔,洗臉卸妝,洗顏,Dr.Bronner’s 布朗博士,3537380,【Dr.Bronner’s 布朗博士】薄荷潔顏皂140g
FMCG,Beauty,Open Shelf Facial Care,OS Face Wash,黃,個人清潔,洗臉卸妝,品牌總覽(A-Z),廣源良,3544598,【廣源良】Luffa Seeds_絲瓜籽多元抗氧修護潔顏乳120ml(120ml*1)
FMCG,Beauty,Open Shelf Facial Care,OS Face Wash,黃,個人清潔,洗臉卸妝,本月主打◆精選活動,ebio 伊比歐,3552427,【ebio伊比歐】薰衣草&蘆薈保溼洗面乳-一般&敏感(100ml)
FMCG,Beauty,Open Shelf Facial Care,OS Face Wash,黃,個人清潔,洗臉卸妝,本月主打◆精選活動,butyshop 沛莉,3606901,【butyshop】洗卸兩用膠 2-IN-1 Cleansing Gel-210ml(清潔卸妝)
FMCG,Beauty,Open Shelf Facial Care,OS Face Wash,黃,個人清潔,Kenvue,露得清,Neutrogena 露得清,3830760,【Neutrogena露得清】深層淨化抗黑頭柔珠洗面乳(100g)
FMCG,Beauty,Open Shelf Facial Care,OS Face Wash,黃,個人清潔,Kenvue,露得清,Neutrogena 露得清,3830763,【Neutrogena露得清】深層淨化保濕洗面乳(100g)
FMCG,Beauty,Open Shelf Facial Care,OS Face Wash,黃,個人清潔,洗臉卸妝,本月主打◆精選活動,MOMUS,4128936,【MOMUS】玻尿酸保濕洗面乳(140ml)
FMCG,Beauty,Open Shelf Facial Care,OS Face Wash,黃,個人清潔,洗臉卸妝,本月主打◆精選活動,MOMUS,4131795,【MOMUS】CI深海藻柔皙潔顏乳(140ml-潔顏粒子)
FMCG,Beauty,Open Shelf Facial Care,OS Face Wash,黃,個人清潔,洗臉卸妝,本月主打◆精選活動,ebio 伊比歐,4288471,【ebio伊比歐】薰衣草&蘆薈保溼洗面乳200ml(一般&敏感肌適用)
FMCG,Beauty,Open Shelf Facial Care,OS Face Wash,黃,個人清潔,洗臉卸妝,洗顏,Dr.Douxi 朵璽,4495642,【Dr.Douxi 朵璽】死海淨膚卵殼皂 100g_3入(團購組)
FMCG,Beauty,Open Shelf Facial Care,OS Face Wash,黃,個人清潔,Kenvue,可伶可俐,C&C 可伶可俐,4567861,【C&C 可伶可俐】長效去油洗面乳(100g)
FMCG,Beauty,Open Shelf Facial Care,OS Face Wash,黃,個人清潔,Kenvue,露得清,Neutrogena 露得清,4679559,【Neutrogena露得清】深層淨化洗面乳(100g)
FMCG,Beauty,Open Shelf Facial Care,OS Face Wash,黃,個人清潔,洗臉卸妝,洗顏,MOMUS,4720160,【MOMUS】經典香氛潔顏乳(100ml)
FMCG,Beauty,Open Shelf Facial Care,OS Face Wash,黃,個人清潔,洗臉卸妝,洗顏,石澤研究所,4927933,【石澤研究所】毛穴撫子-角質對策洗顏粉(100g)
FMCG,Beauty,Open Shelf Facial Care,OS Face Wash,黃,個人清潔,洗臉卸妝,洗顏,石澤研究所,4927935,【石澤研究所】毛穴撫子角質對策泡洗顏(100g)
FMCG,Beauty,Open Shelf Facial Care,OS Face Wash,黃,個人清潔,洗臉卸妝,洗顏,Dr.FreeVenus 藝群,5046500,【Dr.FreeVenus 藝群】溫和洗顏凝露 150ml
FMCG,Beauty,Open Shelf Facial Care,OS Face Wash,黃,個人清潔,洗臉卸妝,洗顏,WHOO 后,5160551,【WHOO 后】拱辰享陰陽調和洗顏乳 40ML x 2〈專櫃公司貨〉
FMCG,Beauty,Open Shelf Facial Care,OS Face Wash,黃,個人清潔,洗臉卸妝,洗顏,Acne-Aid 愛可妮,5239368,【Stiefel Acne-Aid愛可妮】潔面露藍色包裝(150ml*2)
FMCG,Beauty,Open Shelf Facial Care,OS Face Wash,黃,個人清潔,洗臉卸妝,本月主打◆精選活動,butyshop 沛莉,5259756,【butyshop沛莉】QueenSize深層潔面露410ml(嚴選自然純淨成分)
