site,level1,item_id,raw_brand,title,matched_name,matched_id,confidence,path,tagged_at,source_name,source_field,source_norm,latin,chinese,matched_id_num,pool_latin,pool_chinese,pool_category,alias_source,latin_length,risk
momo,Home & Living,14602969,NOW 娜奧,【NOW】美國 不沾鍋木柄矽膠刮刀 蜜語花開33cm / 攪拌刮刀,NOW,2387626,85,1.4 品牌欄相符（品牌庫有重複，取業績最高）,2026-09-21 14:57:20,NOW 娜奧,品牌欄,now娜奧,now,娜奧,2387626,now,,Health,auto,3,True
momo,Home & Living,14602970,NOW 娜奧,【NOW】美國 不沾鍋木柄矽膠刮刀 冬日貓語33cm / 攪拌刮刀,NOW,2387626,85,1.4 品牌欄相符（品牌庫有重複，取業績最高）,2026-09-21 14:57:20,NOW 娜奧,品牌欄,now娜奧,now,娜奧,2387626,now,,Health,auto,3,True
momo,Home & Living,14602971,NOW 娜奧,【NOW】美國 不沾鍋木柄矽膠刮刀 麋鹿之森33cm / 攪拌刮刀,NOW,2387626,85,1.4 品牌欄相符（品牌庫有重複，取業績最高）,2026-09-21 14:57:20,NOW 娜奧,品牌欄,now娜奧,now,娜奧,2387626,now,,Health,auto,3,True
momo,Home & Living,14602972,NOW 娜奧,【NOW】美國 不沾鍋迷你矽膠刮刀2入 黑貓物語17.5cm / 攪拌刮刀 迷你刮刀,NOW,2387626,85,1.4 品牌欄相符（品牌庫有重複，取業績最高）,2026-09-21 14:57:20,NOW 娜奧,品牌欄,now娜奧,now,娜奧,2387626,now,,Health,auto,3,True
momo,Home & Living,14602973,NOW 娜奧,【NOW】美國 不沾鍋木柄矽膠刮杓 慶祝蛋糕26cm / 攪拌刮刀,NOW,2387626,85,1.4 品牌欄相符（品牌庫有重複，取業績最高）,2026-09-21 14:57:20,NOW 娜奧,品牌欄,now娜奧,now,娜奧,2387626,now,,Health,auto,3,True
momo,Home & Living,14603904,DRX 達特世,【DRX 達特世】醫用3D Ultra口罩-Kuroro款(兒童/幼幼30入),DRX,4556462,85,1.4 品牌欄相符（品牌庫有重複，取業績最高）,2026-09-21 14:57:20,DRX 達特世,品牌欄,drx達特世,drx,達特世,4556462,drx,,Beauty,,3,True
momo,Home & Living,14609077,THG 兆鼎生醫,【THG 兆鼎生醫】台灣製成人醫用口罩 50入裝(HEPA級 高透氣 高濾效 自由呼吸系列),THG+ 兆鼎生醫,3071432,98,1.3 品牌欄完全相符,2026-09-21 14:57:20,THG 兆鼎生醫,品牌欄,thg兆鼎生醫,thg,兆鼎生醫,3071432,thg,兆鼎生醫,Home & Living,,3,False
momo,Home & Living,14612693,KAI 貝印,【KAI 貝印】關孫六 若竹系列不鏽鋼麵包刀(21cm),KAI 貝印,1216226,98,1.3 品牌欄完全相符,2026-09-21 14:57:20,KAI 貝印,品牌欄,kai貝印,kai,貝印,1216226,kai,貝印,Home & Living,,3,False
momo,Home & Living,14612694,KAI 貝印,【KAI 貝印】關孫六 若竹系列不鏽鋼冷凍用菜刀(21cm),KAI 貝印,1216226,98,1.3 品牌欄完全相符,2026-09-21 14:57:20,KAI 貝印,品牌欄,kai貝印,kai,貝印,1216226,kai,貝印,Home & Living,,3,False
momo,Home & Living,14612695,,【日本ST雞仔牌】矽膠顆粒變色吸濕防潮家庭多用途乾燥劑10gx12入/橘袋(收納盒放置型除濕劑調味罐乾燥包),ST 雞仔牌,1217870,93,2.2 由商品名稱【】比對到品牌,2026-09-21 14:57:20,ST雞仔牌,標題【】,st雞仔牌,st,雞仔牌,1217870,st,雞仔牌,Home & Living,,2,False
