site,level1,item_id,raw_brand,title,matched_name,matched_id,confidence,path,tagged_at,source_name,source_field,source_norm,latin,chinese,matched_id_num,pool_latin,pool_chinese,pool_category,alias_source,latin_length,risk
momo,Beauty,10208236,GB 綠鐘,【GB 綠鐘】GREEN BELL日本綠鐘不銹鋼17.5R特級眼睫毛夾(PSG-030),gb,4405709,85,1.4 品牌欄相符（品牌庫有重複，取業績最高）,2026-09-21 14:58:28,GB 綠鐘,品牌欄,gb綠鐘,gb,綠鐘,4405709,gb,,Mother & Baby,auto,2,True
momo,Beauty,10222242,GB 綠鐘,【GB 綠鐘】GREEN BELL日本綠鐘不銹鋼旋轉式&竹製耳拔二支組(PSG-029),gb,4405709,85,1.4 品牌欄相符（品牌庫有重複，取業績最高）,2026-09-21 14:58:28,GB 綠鐘,品牌欄,gb綠鐘,gb,綠鐘,4405709,gb,,Mother & Baby,auto,2,True
momo,Beauty,10269152,spa 斐孟,【斐孟spa】摩洛哥油 100ml.(100%精純、抗老化肌膚、修護柔嫩),SPA,3876234,98,1.3 品牌欄完全相符,2026-09-21 14:58:28,spa 斐孟,品牌欄,spa斐孟,spa,斐孟,3876234,spa,,Beauty,auto,3,True
momo,Beauty,10280115,spa 斐孟,【斐孟spa】滋潤修護純植物按摩油100ml.(六星級spa獨家配方、肌膚柔嫩之最),SPA,3876234,98,1.3 品牌欄完全相符,2026-09-21 14:58:28,spa 斐孟,品牌欄,spa斐孟,spa,斐孟,3876234,spa,,Beauty,auto,3,True
momo,Beauty,10282171,spa 斐孟,【斐孟spa】純植物按摩油-嫩白保濕 100ml.(保濕滋養、滋養肌膚、全身可使用),SPA,3876234,98,1.3 品牌欄完全相符,2026-09-21 14:58:28,spa 斐孟,品牌欄,spa斐孟,spa,斐孟,3876234,spa,,Beauty,auto,3,True
momo,Beauty,10284976,spa 斐孟,【斐孟spa】純植物按摩油-抗老保濕 100ml.(含玫瑰天竺葵精油、五大認證),SPA,3876234,98,1.3 品牌欄完全相符,2026-09-21 14:58:28,spa 斐孟,品牌欄,spa斐孟,spa,斐孟,3876234,spa,,Beauty,auto,3,True
momo,Beauty,10284977,spa 斐孟,【斐孟spa】純植物按摩油-紓壓循環 100ml.(徜徉自然之感、肌膚柔嫩之最),SPA,3876234,98,1.3 品牌欄完全相符,2026-09-21 14:58:28,spa 斐孟,品牌欄,spa斐孟,spa,斐孟,3876234,spa,,Beauty,auto,3,True
momo,Beauty,10340349,TS6 護一生,【TS6 護一生】潔淨慕斯180g(私密清潔 私密保養),TS6,1136012,98,1.3 品牌欄完全相符,2026-09-21 14:58:28,TS6 護一生,品牌欄,ts6護一生,ts6,護一生,1136012,ts6,,Beauty,auto,3,True
momo,Beauty,10340350,TS6 護一生,【TS6 護一生】潔淨凝露300g(私密清潔 沐浴露),TS6,1136012,98,1.3 品牌欄完全相符,2026-09-21 14:58:28,TS6 護一生,品牌欄,ts6護一生,ts6,護一生,1136012,ts6,,Beauty,auto,3,True
momo,Beauty,10340351,TS6 護一生,【TS6 護一生】潔淨凝露300gx2入(私密清潔 沐浴露),TS6,1136012,98,1.3 品牌欄完全相符,2026-09-21 14:58:28,TS6 護一生,品牌欄,ts6護一生,ts6,護一生,1136012,ts6,,Beauty,auto,3,True
momo,Beauty,10340353,TS6 護一生,【TS6 護一生】私密緊彈水嫩凝膠 40g(私密保養 緊緻私密肌膚),TS6,1136012,98,1.3 品牌欄完全相符,2026-09-21 14:58:28,TS6 護一生,品牌欄,ts6護一生,ts6,護一生,1136012,ts6,,Beauty,auto,3,True
momo,Beauty,10340355,TS6 護一生,【TS6 護一生】私密粉嫩淡色凝膠30g(私密保養 私密美白),TS6,1136012,98,1.3 品牌欄完全相符,2026-09-21 14:58:28,TS6 護一生,品牌欄,ts6護一生,ts6,護一生,1136012,ts6,,Beauty,auto,3,True
momo,Beauty,10340559,TS6 護一生,【TS6 護一生】私密防護噴霧 40g 私密清潔,TS6,1136012,98,1.3 品牌欄完全相符,2026-09-21 14:58:28,TS6 護一生,品牌欄,ts6護一生,ts6,護一生,1136012,ts6,,Beauty,auto,3,True
momo,Beauty,10340560,TS6 護一生,【TS6 護一生】私密防護噴霧 私密清潔(40gx2入),TS6,1136012,98,1.3 品牌欄完全相符,2026-09-21 14:58:28,TS6 護一生,品牌欄,ts6護一生,ts6,護一生,1136012,ts6,,Beauty,auto,3,True
momo,Beauty,10340562,TS6 護一生,【TS6 護一生】私密保養 凝膠(7mlX7隻),TS6,1136012,98,1.3 品牌欄完全相符,2026-09-21 14:58:28,TS6 護一生,品牌欄,ts6護一生,ts6,護一生,1136012,ts6,,Beauty,auto,3,True
momo,Beauty,10340563,TS6 護一生,【TS6 護一生】私密保養私密修護凝膠-3盒(7mlX7入),TS6,1136012,98,1.3 品牌欄完全相符,2026-09-21 14:58:28,TS6 護一生,品牌欄,ts6護一生,ts6,護一生,1136012,ts6,,Beauty,auto,3,True
momo,Beauty,10364981,RYO 呂,【RYO 呂】官方直營 強韌髮根香氛護髮髮膜 200ml(首爾夕陽/濟州微風/麟蹄林間/襄陽波濤),Ryo,1802408,93,1.4 品牌欄相符（品牌庫有重複，取業績最高）,2026-09-21 14:58:28,RYO 呂,品牌欄,ryo呂,ryo,呂,1802408,ryo,,Beauty,,3,True
momo,Beauty,10364982,RYO 呂,【RYO 呂】官方直營 強韌髮根香氛洗髮精 585ml(首爾夕陽/濟州微風/麟蹄林間/襄陽波濤),Ryo,1802408,93,1.4 品牌欄相符（品牌庫有重複，取業績最高）,2026-09-21 14:58:28,RYO 呂,品牌欄,ryo呂,ryo,呂,1802408,ryo,,Beauty,,3,True
momo,Beauty,10368802,de 第一化妝品,【de 第一化妝品】玻尿酸保濕化粧水500g+玻尿酸精華液250g 贈500ml壓頭(雙效保濕 輕鬆鎖住肌膚水分),de,5656356,90,1.3 品牌欄完全相符,2026-09-21 14:58:28,de 第一化妝品,品牌欄,de第一化妝品,de,第一化妝品,5656356,de,,Sports & Outdoors,auto,2,True
momo,Beauty,10395396,GB 綠鐘,【GB 綠鐘】GREEN BELL日本綠鐘仕女專用安全指甲刀S.66mm(PSG-032),gb,4405709,85,1.4 品牌欄相符（品牌庫有重複，取業績最高）,2026-09-21 14:58:28,GB 綠鐘,品牌欄,gb綠鐘,gb,綠鐘,4405709,gb,,Mother & Baby,auto,2,True
momo,Beauty,10395397,GB 綠鐘,【GB 綠鐘】GREEN BELL日本綠鐘仕女專用安全指甲刀M.86mm(PSG-033),gb,4405709,85,1.4 品牌欄相符（品牌庫有重複，取業績最高）,2026-09-21 14:58:28,GB 綠鐘,品牌欄,gb綠鐘,gb,綠鐘,4405709,gb,,Mother & Baby,auto,2,True
momo,Beauty,10395398,GB 綠鐘,【GB 綠鐘】GREEN BELL日本綠鐘半月型圓弧式指甲銼刀S(PSG-034),gb,4405709,85,1.4 品牌欄相符（品牌庫有重複，取業績最高）,2026-09-21 14:58:28,GB 綠鐘,品牌欄,gb綠鐘,gb,綠鐘,4405709,gb,,Mother & Baby,auto,2,True
momo,Beauty,10395399,GB 綠鐘,【GB 綠鐘】GREEN BELL日本綠鐘附套雙頭擠痘壓棒(PSG-035),gb,4405709,85,1.4 品牌欄相符（品牌庫有重複，取業績最高）,2026-09-21 14:58:28,GB 綠鐘,品牌欄,gb綠鐘,gb,綠鐘,4405709,gb,,Mother & Baby,auto,2,True
momo,Beauty,10395400,GB 綠鐘,【GB 綠鐘】GREEN BELL日本綠鐘極薄刃彎式毛髮修容剪(PSG-036),gb,4405709,85,1.4 品牌欄相符（品牌庫有重複，取業績最高）,2026-09-21 14:58:28,GB 綠鐘,品牌欄,gb綠鐘,gb,綠鐘,4405709,gb,,Mother & Baby,auto,2,True
momo,Beauty,10440071,RYO 呂,【RYO 呂】官方直營 強韌髮根香氛洗髮精 585ml x2入(首爾夕陽/濟州微風/麟蹄林間/襄陽波濤),Ryo,1802408,93,1.4 品牌欄相符（品牌庫有重複，取業績最高）,2026-09-21 14:58:28,RYO 呂,品牌欄,ryo呂,ryo,呂,1802408,ryo,,Beauty,,3,True
momo,Beauty,10534289,GB 綠鐘,【GB 綠鐘】GREEN BELL日本綠鐘極薄刃鼻毛安全修容剪(PSG-037),gb,4405709,85,1.4 品牌欄相符（品牌庫有重複，取業績最高）,2026-09-21 14:58:28,GB 綠鐘,品牌欄,gb綠鐘,gb,綠鐘,4405709,gb,,Mother & Baby,auto,2,True
momo,Beauty,10534291,GB 綠鐘,【GB 綠鐘】GREEN BELL日本綠鐘不鏽鋼粗細型指甲銼刀(QQ-402),gb,4405709,85,1.4 品牌欄相符（品牌庫有重複，取業績最高）,2026-09-21 14:58:28,GB 綠鐘,品牌欄,gb綠鐘,gb,綠鐘,4405709,gb,,Mother & Baby,auto,2,True
momo,Beauty,10534293,GB 綠鐘,【GB 綠鐘】GREEN BELL日本綠鐘半月型圓弧式指甲銼刀L(QQ-403),gb,4405709,85,1.4 品牌欄相符（品牌庫有重複，取業績最高）,2026-09-21 14:58:28,GB 綠鐘,品牌欄,gb綠鐘,gb,綠鐘,4405709,gb,,Mother & Baby,auto,2,True
momo,Beauty,10534295,GB 綠鐘,【GB 綠鐘】GREEN BELL日本綠鐘美甲指面清潔專用刷(QQ-404),gb,4405709,85,1.4 品牌欄相符（品牌庫有重複，取業績最高）,2026-09-21 14:58:28,GB 綠鐘,品牌欄,gb綠鐘,gb,綠鐘,4405709,gb,,Mother & Baby,auto,2,True
momo,Beauty,10534297,GB 綠鐘,【GB 綠鐘】GREEN BELL日本綠鐘+QQ美甲指間及手足部清潔刷(QQ-405),gb,4405709,85,1.4 品牌欄相符（品牌庫有重複，取業績最高）,2026-09-21 14:58:28,GB 綠鐘,品牌欄,gb綠鐘,gb,綠鐘,4405709,gb,,Mother & Baby,auto,2,True
momo,Beauty,10553253,JS 婕洛妮絲,【JS 婕洛妮絲】黃金蠟菊超導精華30ml（澎彈抗老）,JS,5712923,79,1.4 品牌欄相符（品牌庫有重複，取業績最高）,2026-09-21 14:58:28,JS 婕洛妮絲,品牌欄,js婕洛妮絲,js,婕洛妮絲,5712923,js,,Home & Living,,2,True
