source_name,goods,current_id,current_name,exact_ids
DRX 達特世,30,4556462,DRX,[1272795]
BAC 倍爾康,9,1096788,bac,[1214667]
AOK 飛速,6,1126232,AOK,[1087936]
ONE 生活,5,1091134,ONE,[1131589]
H&R 安室家,3,5131488,H&R,[1111072]
AP 磁王,2,6417245,AP,[5004508]
K’s 凱恩絲,1,1111289,K&S,[1112574]
JS 嚴選,1,5712923,JS,[1085785]
